id,slug,question,category,resolved_outcome,volume,end_date,closed_time,condition_id,url
1743053,bitcoin-above-67400-on-march-27-2026-12pm-et,"Bitcoin above 67,400 on March 27, 12PM ET?",,No,99.9932,2026-03-27T16:00:00Z,2026-03-27 18:51:07+00,0x6bddd37b2e3eb42e1089ccd7198e5fd41ca1d6294f9e58dab36b07756e4c6df7,https://polymarket.com/market/bitcoin-above-67400-on-march-27-2026-12pm-et
542608,will-the-highest-temperature-in-london-be-between-66-67f-on-may-10,Will the highest temperature in London be between 66-67°F on May 10?,,No,9999.212411,2025-05-10T12:00:00Z,2025-05-10 14:44:59+00,0x3cceb59864badf888207c53060ebbb2edc42cea2e602c433dd270a681a3bbfde,https://polymarket.com/market/will-the-highest-temperature-in-london-be-between-66-67f-on-may-10
1752124,bitcoin-above-64400-on-march-28-2026-12am-et,"Bitcoin above 64,400 on March 28, 12AM ET?",,Yes,99.992,2026-03-28T04:00:00Z,2026-03-28 07:06:55+00,0x11bd969682a64c7041d76b4159387b83befd245f0c1048df4098d7c246b2f21d,https://polymarket.com/market/bitcoin-above-64400-on-march-28-2026-12am-et
2140051,nba-orl-det-2026-05-03-points-wendell-carter-jr-2pt5,Wendell Carter Jr.: Points O/U 2.5,,Yes,99.991,2026-05-03T04:00:00Z,2026-05-04 01:11:24+00,0xdcee5c0be3631250d6b2c750ac7cf8ecb086072f59515c3bf66d7565f378994e,https://polymarket.com/market/nba-orl-det-2026-05-03-points-wendell-carter-jr-2pt5
2125034,nba-cle-tor-2026-05-01-points-jakobe-walter-2pt5,Ja'Kobe Walter: Points O/U 2.5,,Yes,99.991,2026-05-01T04:00:00Z,2026-05-02 04:01:00+00,0xff57a3fc01b20485f35c21127ac8da843be10d6951398d21a7cf0e2dc002294f,https://polymarket.com/market/nba-cle-tor-2026-05-01-points-jakobe-walter-2pt5
2140054,nba-orl-det-2026-05-03-rebounds-wendell-carter-jr-1pt5,Wendell Carter Jr.: Rebounds O/U 1.5,,Yes,99.991,2026-05-03T04:00:00Z,2026-05-04 01:35:32+00,0x75d4cd0afe1806c2e2a2be6e74a3856e6398e295c7c84e7c879ff8fc5eee41b4,https://polymarket.com/market/nba-orl-det-2026-05-03-rebounds-wendell-carter-jr-1pt5
2140057,nba-orl-det-2026-05-03-assists-tobias-harris-0pt5,Tobias Harris: Assists O/U 0.5,,Yes,99.991,2026-05-03T04:00:00Z,2026-05-04 00:56:40+00,0x85c93308334d0fdc771db590b5fcefe651fb50dbd09ed38b035c6631c501f562,https://polymarket.com/market/nba-orl-det-2026-05-03-assists-tobias-harris-0pt5
2140040,nba-tor-cle-2026-05-03-points-max-strus-2pt5,Max Strus: Points O/U 2.5,,Yes,99.991,2026-05-03T04:00:00Z,2026-05-04 03:16:30+00,0x1b991af909c444841b436ad9c8e30c09bf5eb20c916bbf1387841981dd115eb6,https://polymarket.com/market/nba-tor-cle-2026-05-03-points-max-strus-2pt5
2105296,nba-hou-lal-2026-04-29-points-tari-eason-2pt5,Tari Eason: Points O/U 2.5,,Yes,99.991,2026-04-30T02:00:00Z,2026-04-30 05:51:22+00,0xcb93d66a7a3c6391609d93b9879fb4a962ff0988d6c5d9ecfce97ebab3457441,https://polymarket.com/market/nba-hou-lal-2026-04-29-points-tari-eason-2pt5
2072149,will-hood-dip-to-82-50-by-april-27-2026,"Will Robinhood Markets, Inc. (HOOD) hit (LOW) $82.50 Week of April 27 2026?",,Yes,99.991,2026-05-01T20:00:00Z,2026-04-28 15:40:34+00,0xcce64317b78dbe151df8dae9a0afb5e6e9b7c2988677eb2b4c303a8805a6d477,https://polymarket.com/market/will-hood-dip-to-82-50-by-april-27-2026
1793038,2026-valero-texas-open-top20-stephan-jaeger,Will Stephan Jaeger finish in the Top 20 at the 2026 Valero Texas Open?,,No,99.99080000000001,2026-04-05T00:00:00Z,2026-04-06 01:01:43+00,0xeadb10a8114c89badb1d41a30fdc5b62ff4d6552b2546854bca9139b76a8cd78,https://polymarket.com/market/2026-valero-texas-open-top20-stephan-jaeger
1458166,sea-int-gen-2026-02-28-ags-marcus-thuram,Marcus Thuram: Anytime Goalscorer,,No,99.9908,2026-02-28T19:45:00Z,2026-03-01 02:21:29+00,0x8e3ff081a0f30d0ed04937ad7e68ef3c00861166b704451d3444e0ddb24706f5,https://polymarket.com/market/sea-int-gen-2026-02-28-ags-marcus-thuram
2110107,bitcoin-above-74200-on-april-28-2026-5pm-et,"Bitcoin above 74,200 on April 28, 5PM ET?",,Yes,99.9905,2026-04-28T21:00:00Z,2026-04-28 23:29:08+00,0x06fe5e766591fd168110a81b8227f75cff9d0d4eccc535fb6ed570fba499c300,https://polymarket.com/market/bitcoin-above-74200-on-april-28-2026-5pm-et
613099,btc-multistrike-4h-1758873600-109pt5k,"Will the price of Bitcoin be above $109,500 on September 26 at 4AM ET?",,No,99.9903,2025-09-26T08:00:00Z,2025-09-26 10:09:47+00,0x96ccd9f4a0065c24ab57c4f61e62e114bd5dce3ac9c28b0bffb757d6b175ef18,https://polymarket.com/market/btc-multistrike-4h-1758873600-109pt5k
2110613,bitcoin-above-78400-on-april-28-2026-7pm-et,"Bitcoin above 78,400 on April 28, 7PM ET?",,No,99.9901,2026-04-28T23:00:00Z,2026-04-29 01:01:18+00,0xe151bacf31c83c6afc38360165b899d249deeab29275ab753c73f3bba885332c,https://polymarket.com/market/bitcoin-above-78400-on-april-28-2026-7pm-et
2110385,bitcoin-above-74400-on-april-28-2026-6pm-et,"Bitcoin above 74,400 on April 28, 6PM ET?",,Yes,99.9901,2026-04-28T22:00:00Z,2026-04-29 00:29:34+00,0xbd9c5a072cfdc04757db68746a09848cb6985cdbb0dfab6e91fcd64f9556f38d,https://polymarket.com/market/bitcoin-above-74400-on-april-28-2026-6pm-et
2110604,bitcoin-above-74400-on-april-28-2026-7pm-et,"Bitcoin above 74,400 on April 28, 7PM ET?",,Yes,99.9901,2026-04-28T23:00:00Z,2026-04-29 00:59:04+00,0xe464b08679eca1fff77d3b77feaa1d1297876ccbe0162cae26cbfac79044e947,https://polymarket.com/market/bitcoin-above-74400-on-april-28-2026-7pm-et
1571628,cricthunderbolt-raj-ben-2026-03-13-completed-match,Thunderbolt T10 League: Rajasthan Emperors vs Bengal Royals - Completed match?,,Yes,99.99000000000001,2026-03-20T04:40:00Z,2026-03-14 08:06:03+00,0x59017d1598cbdf0b9b20209dd48c245a410978d8ec3b3f74544b185d2eba30c6,https://polymarket.com/market/cricthunderbolt-raj-ben-2026-03-13-completed-match
1998070,lol-jdg-ig1-2026-04-24-game1-any-player-quadra-kill,Game 1: Any Player Quadra Kill?,,No,99.99000000000001,2026-04-24T17:10:00Z,2026-04-24 20:07:52+00,0xb2bfde1cee8721903d982adf5852822814bf91ac04cd04693543b89bec58e734,https://polymarket.com/market/lol-jdg-ig1-2026-04-24-game1-any-player-quadra-kill
2030956,bitcoin-above-75800-on-april-20-2026-4am-et,"Bitcoin above 75,800 on April 20, 4AM ET?",,No,99.99000000000001,2026-04-20T08:00:00Z,2026-04-20 11:04:50+00,0xb5c7c4ce53cbfa69f457829daadb755f4bfd509f9b69c0f0b1413572726a6997,https://polymarket.com/market/bitcoin-above-75800-on-april-20-2026-4am-et
1139999,nba-phi-orl-2026-01-09-rebounds-joel-embiid-7pt5,Joel Embiid: Rebounds Over 7.5,,Yes,99.99,2026-01-10T00:00:00Z,2026-01-10 04:35:02+00,0xb7e2e17fdb08661f6f888bc5a1a2d918c39b3b1005e1d7200af07b6f927490c9,https://polymarket.com/market/nba-phi-orl-2026-01-09-rebounds-joel-embiid-7pt5
1148284,cs2-tl1-nip-2026-01-15-tl1-to-win-1-maps,Liquid to win 1 maps?,,No,99.99,2026-01-15T22:00:00Z,2026-01-15 21:42:20+00,0x4bf3dc0e2ed7808f8c851403b1a8956512d6c49835b1e02f4d2e3527da0fe301,https://polymarket.com/market/cs2-tl1-nip-2026-01-15-tl1-to-win-1-maps
1148305,cs2-fal2-ecs-2026-01-15-fal2-to-win-2-maps,Team Falcons to win 2 maps?,,Yes,99.99,2026-01-16T00:30:00Z,2026-01-15 23:29:18+00,0x4951158f14c6b4a2b4c02e54aedc0a2757c290ac75cc109006cb12277fcb4e04,https://polymarket.com/market/cs2-fal2-ecs-2026-01-15-fal2-to-win-2-maps
1456845,epl-bur-bre-2026-02-28-ags-luka-bentt,Luka Bentt: Anytime Goalscorer,,No,99.99,2026-02-28T15:00:00Z,2026-03-01 08:59:37+00,0xd6e7d0a7cc9c8b0543f6dac381661c44dd04b0d5c35c1456eae195177893dabd,https://polymarket.com/market/epl-bur-bre-2026-02-28-ags-luka-bentt
2084234,lol-kt-bro2-2026-05-03-game1-both-teams-destroy-inhibitors,Game 1: Both Teams Destroy Inhibitors?,,No,99.99,2026-05-03T12:00:00Z,2026-05-03 11:13:04+00,0x65b00afe2f0e0132ff7b5aac596cfe1adbe112cea35d5fd890700279ebe5c14f,https://polymarket.com/market/lol-kt-bro2-2026-05-03-game1-both-teams-destroy-inhibitors
1148282,cs2-tl1-nip-2026-01-15-nip-to-win-2-maps,NIP to win 2 maps?,,No,99.99,2026-01-15T22:00:00Z,2026-01-15 21:42:20+00,0xa4eea916e02de0bb982d81c6ce434a1cd0a411a85499e09c4947811788612974,https://polymarket.com/market/cs2-tl1-nip-2026-01-15-nip-to-win-2-maps
2156690,2026-oneflight-myrtle-beach-classic-top20-jeffrey-kang,Will Jeffrey Kang finish in the Top 20 at the 2026 ONEflight Myrtle Beach Classic?,,No,99.99,2026-05-10T00:00:00Z,2026-05-09 00:56:40+00,0xc288052650e6b49062f4871c640ae885e99dbc51a1dc98af39e67faba4e8cea0,https://polymarket.com/market/2026-oneflight-myrtle-beach-classic-top20-jeffrey-kang
2074188,will-ewy-reach-158-in-may-2026,Will South Korea ETF (EWY) hit (HIGH) $158 in May?,,Yes,99.99,2026-06-01T03:59:59.999Z,2026-05-01 17:05:42+00,0xb9126445a84a744f3c84d8d333947c610ad4f8499442760ae4ecc95d77dc007c,https://polymarket.com/market/will-ewy-reach-158-in-may-2026
