id,slug,question,category,resolved_outcome,volume,end_date,closed_time,condition_id,url
1892667,2026-masters-tournament-top10-ryan-fox,Will Ryan Fox finish in the Top 10 at the 2026 Augusta National Invitational?,,No,99.99,2026-04-12T04:00:00Z,2026-04-11 01:26:19+00,0xdbcac87d05b40d6bd4640219e5f74978fa1d94a65539293f29d39bcdfa5e7f10,https://polymarket.com/market/2026-masters-tournament-top10-ryan-fox
2084068,lol-kt-hle1-2026-04-29-game1-both-teams-slay-baron,Game 1: Both Teams Slay Baron Nashor?,,No,99.99,2026-04-29T14:00:00Z,2026-04-29 14:17:42+00,0x893f027605ca555ab15ee3c8b86a5647322e70a640b603a7c27f644a79dcc2e8,https://polymarket.com/market/lol-kt-hle1-2026-04-29-game1-both-teams-slay-baron
1836667,will-moreirense-qualify-for-the-league-phase-of-the-2026-27-uefa-champions-league,Will Moreirense qualify for the League Phase of the 2026-27 UEFA Champions League?,,No,99.99,2026-06-01T00:00:00Z,2026-04-06 12:11:09+00,0xdf5b7eaae1451fdf1c2e7b5c537c46eb05e0fd1da969270b3041cc56245f3261,https://polymarket.com/market/will-moreirense-qualify-for-the-league-phase-of-the-2026-27-uefa-champions-league
1792870,2026-valero-texas-open-top5-marco-penge,Will Marco Penge finish in the Top 5 at the 2026 Valero Texas Open?,,No,99.99,2026-04-05T00:00:00Z,2026-04-06 01:10:45+00,0xe38d791c71a0b3e11885490c56528b109829310edcd657a0a754815ef9be1285,https://polymarket.com/market/2026-valero-texas-open-top5-marco-penge
1793015,2026-valero-texas-open-top20-david-ford,Will David Ford finish in the Top 20 at the 2026 Valero Texas Open?,,No,99.99,2026-04-05T00:00:00Z,2026-04-06 01:20:43+00,0xa0f6b86ba49fa97d26cf5829d62849d05cc7ea1e3271cb8a2a8e95e56c17ab7f,https://polymarket.com/market/2026-valero-texas-open-top20-david-ford
1792849,2026-valero-texas-open-top5-henry-lebioda,Will Henry Lebioda finish in the Top 5 at the 2026 Valero Texas Open?,,No,99.99,2026-04-05T00:00:00Z,2026-04-06 00:42:35+00,0x1ed2dc9c22d2dcf71986915682d108d051b7db1f7ef0483d4562914536ce50c1,https://polymarket.com/market/2026-valero-texas-open-top5-henry-lebioda
1793072,2026-valero-texas-open-top20-jt-poston,Will JT Poston finish in the Top 20 at the 2026 Valero Texas Open?,,No,99.99,2026-04-05T00:00:00Z,2026-04-06 01:00:49+00,0xf4991fd1285e8b52e8d1c80166c2c83dd213e93bb10643117eebd69b5116c326,https://polymarket.com/market/2026-valero-texas-open-top20-jt-poston
1792789,2026-valero-texas-open-top5-christiaan-bezuidenhout,Will Christiaan Bezuidenhout finish in the Top 5 at the 2026 Valero Texas Open?,,No,99.99,2026-04-05T00:00:00Z,2026-04-06 01:09:45+00,0xae0830301f53b750895a3e6cbbd1d942ec301dca7622bd9ac75a2b32a1ab15bf,https://polymarket.com/market/2026-valero-texas-open-top5-christiaan-bezuidenhout
1792983,2026-valero-texas-open-top10-adam-schenk,Will Adam Schenk finish in the Top 10 at the 2026 Valero Texas Open?,,No,99.99,2026-04-05T00:00:00Z,2026-04-05 22:53:55+00,0x8e61dc0655c9beb0e204e919174d5d7327036c0d0e7544e59f058133f8c4c9cd,https://polymarket.com/market/2026-valero-texas-open-top10-adam-schenk
1792797,2026-valero-texas-open-top5-bud-cauley,Will Bud Cauley finish in the Top 5 at the 2026 Valero Texas Open?,,No,99.99,2026-04-05T00:00:00Z,2026-04-06 00:26:17+00,0x891219c22dfe1ffa038da354fe44552c1806b6eb8858234ad9ead5f92b737b26,https://polymarket.com/market/2026-valero-texas-open-top5-bud-cauley
1792960,2026-valero-texas-open-top10-mac-meissner,Will Mac Meissner finish in the Top 10 at the 2026 Valero Texas Open?,,No,99.99,2026-04-05T00:00:00Z,2026-04-06 01:50:01+00,0x53324609878658cef756fae5450bb754a91e122a7648d98524dbb88522d609d7,https://polymarket.com/market/2026-valero-texas-open-top10-mac-meissner
1792868,2026-valero-texas-open-top5-john-parry,Will John Parry finish in the Top 5 at the 2026 Valero Texas Open?,,No,99.99,2026-04-05T00:00:00Z,2026-04-06 00:17:19+00,0x82bf852bded1beb01a9b8c84e3116da1c9c63cecd6e78e25a1f0cb4b84c1e892,https://polymarket.com/market/2026-valero-texas-open-top5-john-parry
1792943,2026-valero-texas-open-top10-seong-hyeon-kim,Will Seong-Hyeon Kim finish in the Top 10 at the 2026 Valero Texas Open?,,No,99.99,2026-04-05T00:00:00Z,2026-04-05 23:46:55+00,0xd562deb83d582b5da0df8b100655e3d4b89fe6f837c1ec395bbfd55d1bfdd2c6,https://polymarket.com/market/2026-valero-texas-open-top10-seong-hyeon-kim
1792809,2026-valero-texas-open-top5-steven-fisk,Will Steven Fisk finish in the Top 5 at the 2026 Valero Texas Open?,,No,99.99,2026-04-05T00:00:00Z,2026-04-06 00:11:33+00,0x109cf87f57f898b4d5f143f5618275b7c44d218a278d123f3dddb08cf3a59480,https://polymarket.com/market/2026-valero-texas-open-top5-steven-fisk
1792919,2026-valero-texas-open-top10-doug-ghim,Will Doug Ghim finish in the Top 10 at the 2026 Valero Texas Open?,,No,99.99,2026-04-05T00:00:00Z,2026-04-06 00:03:55+00,0x0195f4d2fd6b32e60b3f827612b3cabe561b4336e2675e63bd8a4f61ee3cd6aa,https://polymarket.com/market/2026-valero-texas-open-top10-doug-ghim
2147859,lol-znt-dyn1-2026-05-05-game1-both-teams-slay-dragon,Game 1: Both Teams Slay a Dragon?,,Yes,99.99,2026-05-05T21:00:00Z,2026-05-05 20:59:48+00,0x95e64fb398341ba4d27bb0a7f69a0c17bfbb7770b0a48895f561ba547aa9c79a,https://polymarket.com/market/lol-znt-dyn1-2026-05-05-game1-both-teams-slay-dragon
1933086,dota2-winter-satan-2026-04-11-game3-any-player-ultra-kill,Game 3: Any Player Ultra Kill?,,Yes,99.99,2026-04-11T12:15:00Z,2026-04-11 11:51:41+00,0x4e1cc17646f23313129c1fac750bd93e7714cb7f47ce1497816124ae33457c97,https://polymarket.com/market/dota2-winter-satan-2026-04-11-game3-any-player-ultra-kill
2084096,lol-gen-drx-2026-04-30-game1-any-player-quadra-kill,Game 1: Any Player Quadra Kill?,,No,99.99,2026-04-30T12:00:00Z,2026-04-30 11:20:12+00,0xf91d8bc350c46ce05050ebab75034044991e32057a026c42d0c7ed2434c33094,https://polymarket.com/market/lol-gen-drx-2026-04-30-game1-any-player-quadra-kill
1456844,epl-bur-bre-2026-02-28-ags-lyle-foster,Lyle Foster: Anytime Goalscorer,,No,99.99,2026-02-28T15:00:00Z,2026-03-01 08:58:35+00,0x10d857bae104ca46b7b09aeb5eebdb954a86ea837e021d237afc51447da1ba61,https://polymarket.com/market/epl-bur-bre-2026-02-28-ags-lyle-foster
2034088,lol-fur-lll-2026-04-26-game2-both-teams-slay-dragon,Game 2: Both Teams Slay a Dragon?,,Yes,99.99,2026-04-26T20:00:00Z,2026-04-26 20:57:04+00,0xbcfc4cb308a0df51883c7b44d2bc88e49ad89be2f0ffa2f2e003c8fdb6dbe14b,https://polymarket.com/market/lol-fur-lll-2026-04-26-game2-both-teams-slay-dragon
1892776,2026-masters-tournament-top20-casey-jarvis,Will Casey Jarvis finish in the Top 20 at the 2026 Augusta National Invitational?,,No,99.99,2026-04-12T04:00:00Z,2026-04-11 01:31:31+00,0x32b237f7b2f6d36d3ed666c32e91cf52ab25ca01ac56241db6c603354de38582,https://polymarket.com/market/2026-masters-tournament-top20-casey-jarvis
2073181,lol-sc-jl-2026-05-01-game1-both-teams-slay-dragon,Game 1: Both Teams Slay a Dragon?,,Yes,99.99,2026-05-01T21:00:00Z,2026-05-01 20:46:02+00,0x183b0a163aaddea1f548f100e2967435d387acc6c471c246965fd763912fb484,https://polymarket.com/market/lol-sc-jl-2026-05-01-game1-both-teams-slay-dragon
2096554,lol-fur-red-2026-05-02-game1-both-teams-destroy-inhibitors,Game 1: Both Teams Destroy Inhibitors?,,No,99.99,2026-05-02T23:50:00Z,2026-05-02 22:12:46+00,0x0ce2e54530634fabb962bf7755fd6d49eefa7ff92ea195281a9cfd2cfec44ebc,https://polymarket.com/market/lol-fur-red-2026-05-02-game1-both-teams-destroy-inhibitors
2096555,lol-fur-red-2026-05-02-game1-any-player-quadra-kill,Game 1: Any Player Quadra Kill?,,Yes,99.99,2026-05-02T23:50:00Z,2026-05-02 22:13:42+00,0xcea084e1971ba9c1b74c5957e94aa51fe54506893b09cbb2dfef32f9bb97baf8,https://polymarket.com/market/lol-fur-red-2026-05-02-game1-any-player-quadra-kill
2084292,lol-tes-al-2026-05-01-game1-both-teams-slay-baron,Game 1: Both Teams Slay Baron Nashor?,,Yes,99.99,2026-05-01T13:00:00Z,2026-05-01 12:56:12+00,0x7478886d0063f3dd76753af615f83e7bd188be7757499393015bd63766f17ac6,https://polymarket.com/market/lol-tes-al-2026-05-01-game1-both-teams-slay-baron
